Domain,Paper Name,Authors,Distinguished
domain_ai_se,ChatGPT Incorrectness Detection in Software Reviews,"Minaoar Hossain Tanzil, Junaed Younus Khan, Gias Uddin",False
domain_ai_se,ChatGPT-Resistant Screening Instrument for Identifying Non-Programmers,"Raphael Serafini, Clemens Otto, Stefan Albert Horstmann, Alena Naiakshina",False
domain_ai_se,Development in times of hype: How freelancers explore Generative AI?,"Mateusz Dolata, Norbert Lange, Gerhard Schwabe",False
domain_ai_se,How Far Are We? The Triumphs and Trials of Generative AI in Learning Software Engineering,"Rudrajit Choudhuri, Dylan Liu, Igor Steinmacher, Marco Gerosa, Anita Sarma",False
domain_ai_se,Uncovering the Causes of Emotions in Software Developer Communication Using Zero-shot LLMs,"Mia Mohammad Imran, Preetha Chatterjee, Kostadin Damevski",False
domain_ai_se,EGFE: End-to-end Grouping of Fragmented Elements in UI Designs with Multimodal Learning,"Liuqing Chen, Yunnong Chen, Shuhong Xiao, Yaxuan Song, Lingyun Sun, Yankun Zhen, Tingting Zhou, Yanfang Chang",False
domain_ai_se,A Comprehensive Study of Learning-based Android Malware Detectors under Challenging Environments,"Gao Cuiying, Gaozhun Huang, Heng Li, Bang Wu, Yueming Wu, Wei Yuan",False
domain_ai_se,Toward Automatically Completing GitHub Workflows,"Antonio Mastropaolo, Fiorella Zampetti, Gabriele Bavota, Massimiliano Di Penta",False
domain_ai_se,UniLog: Automatic Logging via LLM and In-Context Learning,"Junjielong Xu, Ziang Cui, Yuan Zhao, Xu Zhang, Shilin He, Pinjia He, Liqun Li, Yu Kang, Qingwei Lin, Yingnong Dang, Saravan Rajmohan, Dongmei Zhang",False
domain_ai_se,Large Language Models for Test-Free Fault Localization,"Aidan Z.H. Yang, Claire Le Goues, Ruben Martins, Vincent J. Hellendoorn",False
domain_ai_se,Dataflow Analysis-Inspired Deep Learning for Efficient Vulnerability Detection,"Benjamin Steenhoek, Hongyang Gao, Wei Le",False
domain_ai_se,Xpert: Empowering Incident Management with Query Recommendations via Large Language Models,"Yuxuan Jiang, Chaoyun Zhang, Shilin He, Zhihao Yang, Minghua Ma, Si Qin, Yu Kang, Yingnong Dang, Saravan Rajmohan, Qingwei Lin, Dongmei Zhang",False
domain_ai_se,Tensor-Aware Energy Accounting,"Timur Babakol, Yu David Liu",False
domain_ai_se,Programming Assistant for Exception Handling with CodeBERT,"Yuchen Cai, Aashish Yadavally, Abhishek Mishra, Genesis Montejo, Tien N. Nguyen",False
domain_ai_se,An Empirical Study on Noisy Label Learning for Program Understanding,"Wenhan Wang, Yanzhou Li, Anran Li, Jian Zhang, Wei Ma, Yang Liu",False
domain_ai_se,An Empirical Study on Low GPU Utilization of Deep Learning Jobs,"Yanjie Gao, yichen he, Xinze Li, Bo Zhao, Haoxiang Lin, Yoyo Liang, Jing Zhong, Hongyu Zhang, Jingzhou Wang, Yonghua Zeng, Keli Gui, Jie Tong, Mao Yang",False
domain_ai_se,Using an LLM to Help With Code Understanding,"Daye Nam, Andrew Macvean, Vincent J. Hellendoorn, Bogdan Vasilescu, Brad A. Myers",False
domain_ai_se,Enhancing Exploratory Testing by Large Language Model and Knowledge Graph,"Yanqi Su, Dianshu Liao, Zhenchang Xing, Qing Huang, Mulong Xie, Qinghua Lu, Xiwei (Sherry) Xu",False
domain_ai_se,LLMParser: An Exploratory Study on Using Large Language Models for Log Parsing,"Zeyang Ma, An Ran Chen, Dong Jae Kim, Tse-Hsun (Peter) Chen, Shaowei Wang",False
domain_ai_se,Make LLM a Testing Expert: Bringing Human-like Interaction to Mobile GUI Testing via Functionality-aware Decisions,"Zhe Liu, Chunyang Chen, Junjie Wang, Mengzhuo Chen, Boyu Wu, Xing Che, Dandan Wang, Qing Wang",False
domain_ai_se,Predicting Performance and Accuracy of Mixed-Precision Programs for Precision Tuning,"Yutong Wang, Cindy Rubio-González",False
domain_ai_se,Design by Contract for Deep Learning APIs,"Shibbir Ahmed, Sayem Mohammad Imtiaz, Samantha Syeda Khairunnesa, Breno Dantas Cruz, Hridesh Rajan",False
domain_ai_se,Testing Coreference Resolution Systems without Labeled Test Sets,"Jialun Cao, Yaojie Lu, Ming Wen, Shing-Chi Cheung",False
domain_ai_se,Neural-Based Test Oracle Generation: A Large-scale Evaluation and Lessons Learned,"Soneya Binta Hossain, Antonio Filieri, Matthew B Dwyer, Sebastian Elbaum, Willem Visser",False
domain_ai_se,Revisiting Neural Program Smoothing for Fuzzing,"Maria Irina Nicolae, Max Eisele, Andreas Zeller",False
domain_ai_se,[Remote] Compatibility Issues in Deep Learning Systems: Problems and Opportunities,"Jun Wang, Guanping Xiao, Shuai Zhang, Huashan Lei, Yepang Liu, Yulei Sui",False
domain_ai_se,[Remote] An Extensive Study on Adversarial Attack against Pre-trained Models of Code,"Xiaohu Du, Ming Wen, Zichao Wei, Shangwen Wang, Hai Jin",False
domain_ai_se,Can Machine Learning Pipelines Be Better Configured?,"Yibo Wang, Ying Wang, Tingwei Zhang, Yue Yu, Shing-Chi Cheung, Hai Yu, Zhiliang Zhu",True
domain_ai_se,"Fix Fairness, Don’t Ruin Accuracy: Performance Aware Fairness Repair using AutoML","Giang Nguyen, Sumon Biswas, Hridesh Rajan",False
domain_ai_se,BiasAsker: Measuring the Bias in Conversational AI System,"Yuxuan Wan, Wenxuan Wang, Pinjia He, Jiazhen Gu, Haonan Bai, Michael Lyu",False
domain_ai_se,Pitfalls in Experiments with DNN4SE: An Analysis of the State of the Practice,"Sira Vegas, Sebastian Elbaum",False
domain_ai_se,DecompoVision: Reliability Analysis of Machine Vision Components Through Decomposition and Reuse,"Boyue Caroline Hu, Lina Marsso, Nikita Dvornik, Huakun Shen, Marsha Chechik",False
domain_ai_se,Benchmarking Robustness of AI-enabled Multi-sensor Fusion Systems: Challenges and Opportunities,"Xinyu Gao, Zhijie Wang, Yang Feng, Lei Ma, Zhenyu Chen, Baowen Xu",True
domain_ai_se,Automated Testing and Improvement of Named Entity Recognition Systems,"BoXi Yu, Yiyan Hu, Qiuyang Mang, Wenhan Hu, Pinjia He",False
domain_ai_se,Deep Learning Based Feature Envy Detection Boosted by Real-World Examples,"Bo Liu, Hui Liu, Guangjie Li, Nan Niu, Zimao Xu, Yifan Wang, Yunni Xia, Yuxia Zhang, Yanjie Jiang",False
domain_ai_se,[Remote] The EarlyBIRD Catches the Bug: On Exploiting Early Layers of Encoder Models for More Efficient Code Classification,"Anastasiia Grishina, Max Hort, Leon Moonen",False
domain_ai_se,Dynamic Data Fault Localization for Deep Neural Networks,"Yining Yin, Yang Feng, Shihao Weng, Zixi Liu, Yuan Yao, Yichi Zhang, Zhihong Zhao, Zhenyu Chen",False
domain_ai_se,Understanding the Bug Characteristics and Fix Strategies of Federated Learning Systems,"Xiaohu Du, Xiao CHEN, Jialun Cao, Ming Wen, Shing-Chi Cheung, Hai Jin",False
domain_ai_se,Learning Program Semantics for Vulnerability Detection via Vulnerability-specific Inter-procedural Slicing,"bozhi wu, Shangqing Liu, Yang Xiao, Zhiming Li, Jun Sun, Shang-Wei Lin",False
domain_ai_se,[Remote] DeepRover: A Query-efficient Blackbox Attack for Deep Neural Networks,"Fuyuan Zhang, Xinwen Hu, Lei Ma, Jianjun Zhao",False
domain_ai_se,LExecutor: Learning-Guided Execution,"Beatriz Souza, Michael Pradel",True
domain_ai_se,Software Architecture Recovery with Information Fusion,"Yiran Zhang, Zhengzi Xu, Chengwei Liu, Hongxu Chen, Sun Jianwen, Dong Qiu, Yang Liu",False
domain_ai_se,Evaluating Transfer Learning for Simplifying GitHub READMEs,"Haoyu Gao, Christoph Treude, Mansooreh Zahedi",False
domain_ai_se,[Remote] CodeMark: Imperceptible Watermarking for Code Datasets against Neural Code Completion Models,"Zhensu Sun, Xiaoning Du, Fu Song, Li Li",False
domain_testing_analysis,Detecting JVM JIT Compiler Bugs via Exploring Two-Dimensional Input Spaces,"Haoxiang Jia, Ming Wen, Zifan Xie, Xiaochen Guo, Rongxin Wu, Maolin Sun, Kang Chen, Hai Jin",False
domain_testing_analysis,JITfuzz: Coverage-guided Fuzzing for JVM Just-in-Time Compilers,"Mingyuan Wu, Minghai Lu, Heming Cui, Junjie Chen, Yuqun Zhang, Lingming Zhang",False
domain_testing_analysis,Validating SMT Solvers via Skeleton Enumeration Empowered by Historical Bug-Triggering Inputs,"Maolin Sun, Yibiao Yang, Ming Wen, Yongcong Wang, Yuming Zhou, Hai Jin",False
domain_testing_analysis,Regression Fuzzing for Deep Learning Systems,"Hanmo You, Zan Wang, Junjie Chen, Shuang Liu, Shuochuan Li",False
domain_testing_analysis,Operand-Variation-Oriented Differential Analysis for Fuzzing Binding Calls in PDF Readers,"Suyue Guo, Xinyu Wan, Wei You, Bin Liang, Wenchang Shi, Yiwei Zhang, Jianjun Huang, Jian Zhang",False
domain_testing_analysis,Reachable Code Coverage,"Danushka Liyanage, Marcel Böhme, Kla Tantithamthavorn, Stephan Lipp",False
domain_testing_analysis,Learning Seed-Adaptive Mutation Strategies for Greybox Fuzzing,"Myungho Lee, Sooyoung Cha, Hakjoo Oh",False
domain_testing_analysis,Improving Java Deserialization Gadget Chain Mining via Overriding-Guided Object Generation,"Sicong Cao, Xiaobing Sun, Xiaoxue Wu, Lili Bo, Bin Li, Rongxin Wu, Wei Liu, Biao He, Yu Ouyang, Jiajia Li",False
domain_testing_analysis,Evaluating and Improving Hybrid Fuzzing,"Ling Jiang, Hengchen Yuan, Mingyuan Wu, Lingming Zhang, Yuqun Zhang",False
domain_testing_analysis,ECSTATIC: An Extensible Framework for Testing and Debugging Configurable Static Analysis,"Austin Mordahl, Zenong Zhang, Dakota Soles, Shiyi Wei",False
domain_testing_analysis,Responsibility in Context: On Applicability of Slicing in Semantic Regression Analysis,"Sahar Badihi, Khaled Ahmed, Yi Li, Julia Rubin",False
domain_testing_analysis,Does the Stream API Benefit from Special Debugging Facilities? A Controlled Experiment on Loops and Streams with Specific Debuggers,"Jan Reichl, Stefan Hanenberg, Volker Gruhn",False
domain_testing_analysis,Fonte: Finding Bug Inducing Commits from Failures,"Gabin An, Jingun Hong, Naryeong Kim, Shin Yoo",False
domain_testing_analysis,Detecting Memory Errors in Python Native Code by Tracking Object Lifecycle with Reference Count,"Xutong Ma, Jiwei Yan, Hao Zhang, Jun Yan, Jian Zhang",False
domain_testing_analysis,PERFCE: Performance Debugging on Databases with Chaos Engineering-Enhanced Causality Analysis,"Zhenlan Ji, Pingchuan Ma, Shuai Wang",False
domain_testing_analysis,The MAP metric in Information Retrieval Fault Localization,"Thomas Hirsch, Birgit Hofer",False
domain_testing_analysis,Eiffel: Inferring Input Ranges of Significant Floating-point Errors via Polynomial Extrapolation,"Zuoyan Zhang, Bei Zhou, Jiangwei Hao, Hongru Yang, Mengqi Cui, Yuchang Zhou, Guanghui Song, Fei Li, Jinchen Xu, Jie Zhao",False
domain_testing_analysis,Information Retrieval-based Fault Localization for Concurrent Programs,"Shuai Shao, Tingting Yu",False
domain_testing_analysis,BADGE: Prioritizing UI Events with Hierarchical Multi-Armed Bandits for Automated UI Testing,"Dezhi Ran, Hao Wang, Wenyu Wang, Tao Xie",False
domain_testing_analysis,Efficiency Matters: Speeding Up Automated Testing with GUI Rendering Inference,"Sidong Feng, Mulong Xie, Chunyang Chen",True
domain_testing_analysis,CodaMOSA: Escaping Coverage Plateaus in Test Generation with Pre-trained Large Language Models,"Caroline Lemieux, Jeevana Priya Inala, Shuvendu K. Lahiri, Siddhartha Sen",False
domain_testing_analysis,When and Why Test Generators for Deep Learning Produce Invalid Inputs: an Empirical Study,"Vincenzo Riccio, Paolo Tonella",False
domain_testing_analysis,Fuzzing Automatic Differentiation in Deep-Learning Libraries,"Chenyuan Yang, Yinlin Deng, Jiayi Yao, Yuxing Tu, Hanchi Li, Lingming Zhang",False
domain_testing_analysis,Lightweight Approaches to DNN Regression Error Reduction: An Uncertainty Alignment Perspective,"Zenan Li, Maorun Zhang, Jingwei Xu, Yuan Yao, Chun Cao, Taolue Chen, Xiaoxing Ma, Jian Lu",False
domain_testing_analysis,Revisiting Neuron Coverage for DNN Testing: A Layer-Wise and Distribution-Aware Criterion,"Yuanyuan Yuan, Qi Pang, Shuai Wang",False
domain_testing_analysis,Aries: Efficient Testing of Deep Neural Networks via Labeling-Free Accuracy Estimation,"Qiang Hu, Yuejun GUo, Xiaofei Xie, Maxime Cordy, Lei Ma, Mike Papadakis, Yves Le Traon",False
domain_testing_analysis,CC: Causality-Aware Coverage Criterion for Deep Neural Networks,"Zhenlan Ji, Pingchuan Ma, Yuanyuan Yuan, Shuai Wang",False
domain_testing_analysis,Balancing Effectiveness and Flakiness of Non-Deterministic Machine Learning Tests,"Chunqiu Steven Xia, Saikat Dutta, Sasa Misailovic, Darko Marinov, Lingming Zhang",False
domain_testing_analysis,Many-Objective Reinforcement Learning for Online Testing of DNN-Enabled Systems,"Fitash ul haq, Donghwan Shin, Lionel Briand",False
domain_testing_analysis,Reliability Assurance for Deep Neural Network Architectures Against Numerical Defects,"Linyi Li, Yuhao Zhang, Luyao Ren, Yingfei Xiong, Tao Xie",False
domain_testing_analysis,Data-driven Recurrent Set Learning For Non-termination Analysis,"Zhilei Han, Fei He",False
domain_testing_analysis,Compiling Parallel Symbolic Execution with Continuations,"Guannan Wei, Songlin Jia, Ruiqi Gao, Haotian Deng, Shangyin Tan, Oliver Bračevac, Tiark Rompf",False
domain_testing_analysis,Verifying Data Constraint Equivalence in FinTech Systems,"Chengpeng Wang, Gang Fan, Peisen Yao, Fuxiong Pan, Charles Zhang",False
domain_testing_analysis,Tolerate Control-Flow Changes for Sound Data Race Prediction,"Shihao Zhu, Yuqi Guo, Long Zhang, Yan Cai",False
domain_testing_analysis,Fill in the Blank: Context-aware Automated Text Input Generation for Mobile GUI Testing,"Zhe Liu, Chunyang Chen, Junjie Wang, Xing Che, Yuekai Huang, Jun Hu, Qing Wang",False
domain_testing_analysis,Detecting Dialog-Related Keyboard Navigation Failures in Web Applications,"Paul T. Chiou, Ali S. Alotaibi, William G.J. Halfond",False
domain_testing_analysis,COLUMBUS: Android App Testing Through Systematic Callback Exploration,"Priyanka Bose, Dipanjan Das, Saastha Vasan, Sebastiano Mariani, Ilya Grishchenko, Andrea Continella, Antonio Bianchi, Christopher Kruegel, Giovanni Vigna",False
domain_testing_analysis,GameRTS: A Regression Testing Framework for Video Games,"Jiongchi Yu, Yuechen Wu, Xiaofei Xie, Wei Le, Lei Ma, Yingfeng Chen, Yujing Hu, Fan Zhang",False
domain_testing_analysis,Test Selection for Unified Regression Testing,"Shuai Wang, Xinyu Lian, Darko Marinov, Tianyin Xu",False
domain_testing_analysis,ATM: Black-box Test Case Minimization based on Test Code Similarity and Evolutionary Search,"Rongqi Pan, Taher A Ghaleb, Lionel Briand",False
domain_testing_analysis,Measuring and Mitigating Gaps in Structural Testing,"Soneya Binta Hossain, Matthew B Dwyer, Sebastian Elbaum, Anh Nguyen-Tuong",False
domain_testing_analysis,Compiler Test-Program Generation via Memoized Configuration Search,"Junjie Chen, Chenyao Suo, Jiajun Jiang, Peiqi Chen, Xingjian Li",False
domain_testing_analysis,Generating Test Databases for Database-Backed Applications,"Cong Yan, Suman Nath, Shan Lu",False
domain_testing_analysis,Testing Database Engines via Query Plan Guidance,"Jinsheng Ba, Manuel Rigger",True
domain_testing_analysis,Testing Database Systems via Differential Query Execution,"Jiansen Song, Wensheng Dou, Ziyu Cui, Qianwang Dai, Wei Wang, Jun Wei, Hua Zhong, Tao Huang",False
domain_testing_analysis,Coverage Guided Fault Injection for Cloud Systems,"Yu Gao, Wensheng Dou, Dong Wang, Wenhan Feng, Jun Wei, Hua Zhong, Tao Huang",False
domain_testing_analysis,Diver: Oracle-Guided SMT Solver Testing with Unrestricted Random Mutations,"Jongwook Kim, Sunbeom So, Hakjoo Oh",False
domain_testing_analysis,DuetCS: Code Style Transfer through Generation and Retrieval,"Binger Chen, Ziawasch Abedjan",False
domain_testing_analysis,MTTM: Metamorphic Testing for Textual Content Moderation Software,"Wenxuan Wang, Jen-tse Huang, Weibin Wu, Jianping Zhang, Yizhan Huang, Shuqing Li, Pinjia He, Michael Lyu",False
domain_testing_analysis,Metamorphic Shader Fusion for Testing Graphics Shader Compilers,"Dongwei Xiao, Zhibo Liu, Shuai Wang",False
domain_testing_analysis,MorphQ: Metamorphic Testing of the Qiskit Quantum Computing Platform,"Matteo Paltenghi, Michael Pradel",False
domain_testing_analysis,Finding Causally Different Tests for an Industrial Control System,"Chris Poskitt, Yuqi Chen, Jun Sun, Yu Jiang",False
domain_testing_analysis,Doppelganger Test Generation for Revealing Bugs in Autonomous Driving Software,"Yuqi Huai, Yuntianyi Chen, Sumaya Almanee, Tuan Ngo, Xiang Liao, Ziwen Wan, Qi Alfred Chen, Joshua Garcia",False
domain_testing_analysis,Generating Realistic and Diverse Tests for LiDAR-Based Perception Systems,"Garrett Christian, Trey Woodlief, Sebastian Elbaum",False
domain_testing_analysis,A First Look at the Inheritance-Induced Redundant Test Execution,"Dong Jae Kim, Jinqiu Yang, Tse-Hsun (Peter) Chen",False
domain_testing_analysis,Hypertesting of Programs: Theoretical Foundation and Automated Test Generation,"Michele Pasqua, Mariano Ceccato, Paolo Tonella",False
domain_testing_analysis,Ripples of a Mutation — An Empirical Study of Propagation Effects in Mutation Testing,"Hang Du, Vijay Krishna Palepu, James Jones",False
domain_testing_analysis,Fast Deterministic Black-box Context-free Grammar Inference,"Mohammad Rifat Arefin, Suraj Shetiya, Zili Wang, Christoph Csallner",False
domain_testing_analysis,Do Automatic Test Generation Tools Generate Flaky Tests?,"Martin Gruber, Muhammad Firhard Roslan, Owain Parry, Fabian Scharnböck, Phil McMinn, Gordon Fraser",False
domain_testing_analysis,Deep Combination of CDCL(T) and Local Search for Satisfiability Modulo Non-Linear Integer Arithmetic Theory,"Xindi Zhang, Bohan Li, Shaowei Cai",False
domain_testing_analysis,Uncover the Premeditated Attacks: Detecting Exploitable Reentrancy Vulnerabilities by Identifying Attacker Contracts,"Shuo Yang, Jiachi Chen, Mingyuan Huang, Zibin Zheng, Yuan Huang",False
domain_testing_analysis,Practical Non-Intrusive GUI Exploration Testing with Visual-based Robotic Arms,"Shengcheng Yu, Chunrong Fang, Mingzhe Du, Yuchen Ling, Zhenyu Chen, Zhendong Su",False
domain_testing_analysis,Concrete Constraint Guided Symbolic Execution,"Yue Sun, Guowei Yang, Shichao Lv, Zhi Li, Limin Sun",False
domain_testing_analysis,Improving Testing Behavior by Gamifying IntelliJ,"Philipp Straubinger, Gordon Fraser",False
