category,name,authors,url,distinguished
Mining software repositories,Do code refactorings influence the merge effort?,"André Oliveira, Vania Neves, Alexandre Plastino, Ana Carla Bibiano, Alessandro Garcia, Leonardo Murta",No URL available,False
Mining software repositories,A Comprehensive Study of Real-World Bugs in Machine Learning Model Optimization,"Hao Guan, Ying Xiao, Jiaying LI, Yepang Liu, Guangdong Bai",No URL available,False
Fault localization,Evaluating the Impact of Experimental Assumptions in Automated Fault Localization,"Ezekiel Soremekun, Lukas Kirschner, Marcel Böhme, Mike Papadakis",https://drive.google.com/file/d/1Q0lqaZtoC_rKP41RxyWshaNU-z9x49Wa/view?usp=sharing,False
Fault localization,Locating Framework-specific Crashing Faults with Compact and Explainable Candidate Set,"Jiwei Yan, MiaoMiao Wang, Yepang Liu, Jun Yan, Long Zhang",https://hanada31.github.io/pdf/icse23_crashtracker.pdf,False
Fault localization,PExReport: Automatic Creation of Pruned Executable Cross-Project Failure Reports,"Sunzhou Huang, Xiaoyin Wang",https://arxiv.org/pdf/2305.06669.pdf,False
Fault localization,RAT: A Refactoring-Aware Traceability Model for Bug Localization,"Feifei Niu, Wesley Assunção, Liguo Huang, Christoph Mayr-Dorn, Jidong Ge, Bin Luo, Alexander Egyed",https://conf.researchr.org/details/icse-2023/icse-2023-technical-track/189/RAT-A-Refactoring-Aware-Traceability-Model-for-Bug-Localization,False
Formal verification,How Do We Read Formal Claims? Eye-Tracking and the Cognition of Proofs about Algorithms,"Hammad Ahmad, Zachary Karas, Kimberly Diaz, Amir Kamil, Jean-Baptiste Jeannin, Westley Weimer",No URL available,False
Formal verification,Which of My Assumptions are Unnecessary for Realizability and Why Should I Care?,"Rafi Shalom, Shahar Maoz",https://smlab.cs.tau.ac.il/syntech/asmcores/asm-cores-icse23.pdf,False
APIs and libraries,UpCy: Safely Updating Outdated Dependencies,"Andreas Dann, Ben Hermann, Eric Bodden",https://sse.cs.tu-dortmund.de/storages/sse-cs/r/Publications/Preprints/icse-2023_upcy.pdf,False
APIs and libraries,APICAD: Augmenting API Misuse Detection Through Specifications From Code And Documents,"Xiaoke Wang, Lei Zhao",https://doi.org/10.1109/ICSE48619.2023.00032,False
APIs and libraries,Compatibility Issue Detection for Android Apps Based on Path-Sensitive Semantic Analysis,"Sen Yang, Sen Chen, Lingling Fan, Sihan Xu, Zhanwei Hui, Song Huang",No URL available,False
APIs and libraries,OSSFP: Precise and Scalable C/C++ Third-Party Library Detection using Fingerprinting Functions,"Wu Jiahui, Zhengzi Xu, Wei Tang, Lyuye Zhang, Yueming Wu, Chengyue Liu, Kairan Sun, Lida Zhao, Yang Liu",No URL available,False
Blockchain/smart contracts,SmartMark: Software Watermarking Scheme for Smart Contracts,"Taeyoung Kim, Yunhee Jang, Chanjong Lee, Hyungjoon Koo, hyoungshick kim",No URL available,False
Blockchain/smart contracts,Turn the Rudder: A Beacon of Reentrancy Detection for Smart Contracts on Ethereum,"Zibin Zheng, Neng Zhang, Jianzhong Su, Zhijie Zhong, Mingxi Ye, Jiachi Chen",https://arxiv.org/abs/2303.13770,False
Blockchain/smart contracts,BSHUNTER: Detecting and Tracing Defects of Bitcoin Scripts,"Peilin Zheng, Xiapu Luo, Zibin Zheng",https://zhengpeilin.com/research/BSHunter.pdf,False
Cognitive aspects of software development,Do I Belong? Modeling Sense of Virtual Community Among Linux Kernel Contributors,"Bianca Trinkenreich, Klaas-Jan Stol, Anita Sarma, Daniel M. German, Marco Gerosa, Igor Steinmacher",https://arxiv.org/pdf/2301.06437.pdf,True
Code smells and clones,Comparison and Evaluation of Clone Detection Techniques with Different Code Representations,"Yuekun Wang, Yuhang Ye, Yueming Wu, Weiwei Zhang, Yinxing Xue, Yang Liu",No URL available,False
Code smells and clones,Learning Graph-based Code Representations for Source-level Functional Similarity Detection,"Jiahao Liu, Jun Zeng, Xiang Wang, Zhenkai Liang",No URL available,False
Code smells and clones,The Smelly Eight: An Empirical Study on the Prevalence of Code Smells in Quantum Computing,"Qihong Chen, Rúben Câmara, José Campos, André Souto, Iftekhar Ahmed",https://jose.github.io/assets/pdfs/ICSE2023-paper.pdf,False
Fuzzing: techniques and tools,Reachable Code Coverage,"Danushka Liyanage, Marcel Böhme, Kla Tantithamthavorn, Stephan Lipp",No URL available,False
Fuzzing: techniques and tools,Learning Seed-Adaptive Mutation Strategies for Greybox Fuzzing,"Myungho Lee, Sooyoung Cha, Hakjoo Oh",No URL available,False
Fuzzing: techniques and tools,Improving Java Deserialization Gadget Chain Mining via Overriding-Guided Object Generation,"Sicong Cao, Xiaobing Sun, Xiaoxue Wu, Lili Bo, Bin Li, Rongxin Wu, Wei Liu, Biao He, Yu Ouyang, Jiajia Li",No URL available,False
Fuzzing: techniques and tools,Evaluating and Improving Hybrid Fuzzing,"Ling Jiang, Hengchen Yuan, Mingyuan Wu, Lingming Zhang, Yuqun Zhang",No URL available,False
Software architectures and design,Robustification of Behavioral Designs against Environmental Deviations,"Changjian Zhang, Tarang Saluja, Rômulo Meira-Góes, Matthew Bolton, David Garlan, Eunsuk Kang",https://eskang.github.io/assets/papers/icse23-robustification.pdf,False
Software architectures and design,A Qualitative Study on the Implementation Design Decisions of Developers,"Jenny T. Liang, Maryam Arab, Minhyuk Ko, Amy Ko, Thomas LaToza",https://arxiv.org/abs/2301.09789,True
Software security and privacy,BFTDetector: Automatic Detection of Business Flow Tampering for Digital Content Service,"I Luk Kim, Weihang Wang, Yonghwi Kwon, Xiangyu Zhang",No URL available,False
Software security and privacy,FedSlice: Protecting Federated Learning Models from Malicious Participants with Model Slicing,"Ziqi Zhang, Yuanchun Li, Bingyan Liu, Yifeng Cai, Ding Li, Yao Guo, Xiangqun Chen",No URL available,False
Software security and privacy,PTPDroid: Detecting Violated User Privacy Disclosures to Third-Parties of Android Apps,"Zeya Tan, Wei Song",https://figshare.com/s/e6f5ff6b7478d571a9a9,False
Software security and privacy,AdHere: Automated Detection and Repair of Intrusive Ads,"Yutian Yan, Yunhui Zheng, Xinyue Liu, Nenad Medvidović, Weihang Wang",No URL available,False
Software security and privacy,Bad Snakes: Understanding and Improving Python Package Index Malware Scanning,"Duc Ly Vu, Zachary Newman, John Speed Meyers",No URL available,False
AI systems engineering,FedDebug: Systematic Debugging for Federated Learning Applications,"Waris Gill, Ali Anwar, Muhammad Ali Gulzar",No URL available,False
AI systems engineering,Practical and Efficient Model Extraction of Sentiment Analysis APIs,"Weibin Wu, Jianping Zhang, Victor Junqiu Wei, Xixian Chen, Zibin Zheng, Irwin King, Michael Lyu",No URL available,False
AI systems engineering,CrossCodeBench: Benchmarking Cross-Task Generalization of Source Code Models,"Changan Niu, Chuanyi Li, Vincent Ng, Bin Luo",https://arxiv.org/abs/2302.04030,False
Debugging,ECSTATIC: An Extensible Framework for Testing and Debugging Configurable Static Analysis,"Austin Mordahl, Zenong Zhang, Dakota Soles, Shiyi Wei",https://github.com/amordahl/amordahl.github.io/raw/master/docs/ecstatic_paper.pdf,False
Debugging,Responsibility in Context: On Applicability of Slicing in Semantic Regression Analysis,"Sahar Badihi, Khaled Ahmed, Yi Li, Julia Rubin",https://people.ece.ubc.ca/mjulia/publications/ResponsibilityinContext_ICSE2023.pdf,False
Debugging,Does the Stream API Benefit from Special Debugging Facilities? A Controlled Experiment on Loops and Streams with Specific Debuggers,"Jan Reichl, Stefan Hanenberg, Volker Gruhn",https://drive.google.com/file/d/1FyIXSM3cLYhoPF6uOY0kQ9RzbR3Lt2rc,False
Debugging,Fonte: Finding Bug Inducing Commits from Failures,"Gabin An, Jingun Hong, Naryeong Kim, Shin Yoo",https://arxiv.org/abs/2212.06376,False
Debugging,Detecting Memory Errors in Python Native Code by Tracking Object Lifecycle with Reference Count,"Xutong Ma, Jiwei Yan, Hao Zhang, Jun Yan, Jian Zhang",http://lcs.ios.ac.cn/~maxt/PyRefcon/ASE-2023.pdf,False
Debugging,PERFCE: Performance Debugging on Databases with Chaos Engineering-Enhanced Causality Analysis,"Zhenlan Ji, Pingchuan Ma, Shuai Wang",https://arxiv.org/abs/2207.08369,False
Debugging,The MAP metric in Information Retrieval Fault Localization,"Thomas Hirsch, Birgit Hofer",https://conf.researchr.org/details/ase-2023/ase-2023-papers/2/The-MAP-metric-in-Information-Retrieval-Fault-Localization,False
Debugging,Eiffel: Inferring Input Ranges of Significant Floating-point Errors via Polynomial Extrapolation,"Zuoyan Zhang, Bei Zhou, Jiangwei Hao, Hongru Yang, Mengqi Cui, Yuchang Zhou, Guanghui Song, Fei Li, Jinchen Xu, Jie Zhao",https://conf.researchr.org/details/ase-2023/ase-2023-papers/62/Eiffel-Inferring-Input-Ranges-of-Significant-Floating-point-Errors-via-Polynomial-Ex,False
Debugging,Information Retrieval-based Fault Localization for Concurrent Programs,"Shuai Shao, Tingting Yu",https://github.com/jedishao/BLCoiR/blob/master/ase23-main-262.pdf,False
Defect analysis,RepresentThemAll: A Universal Learning Representation of Bug Reports,"Sen Fang, Tao Zhang, Youshuai Tan, He Jiang, Xin Xia, Xiaobing Sun",No URL available,False
Defect analysis,Demystifying Exploitable Bugs in Smart Contracts,"Zhuo Zhang, Brian Zhang, Wen Xu, Zhiqiang Lin",https://github.com/ZhangZhuoSJTU/Web3Bugs/blob/main/papers/icse23.pdf,False
Defect analysis,Understanding and Detecting On-the-Fly Configuration Bugs,"Teng Wang, Zhouyang Jia, Shanshan Li, Si Zheng, Yue Yu, Erci Xu, Shaoliang Peng, Liao Xiangke",https://leopard-lab.github.io/paper/icse23-Parachute.pdf,True
Defect analysis,Explaining Software Bugs Leveraging Code Structures in Neural Machine Translation,"Parvez Mahbub, Ohiduzzaman Shuvo, Masud Rahman",https://arxiv.org/abs/2212.04584,False
Developers' behaviors,Is It Enough to Recommend Tasks to Newcomers? Understanding Mentoring on Good First Issues,"Xin Tan, Yiran Chen, Haohua Wu, Minghui Zhou, Li Zhang",https://arxiv.org/abs/2302.05058,False
Developers' behaviors,From Organizations to Individuals: Psychoactive Substance Use By Professional Programmers,"Kaia Newman, Madeline Endres, Westley Weimer, Brittany Johnson",https://arxiv.org/pdf/2305.01056.pdf,False
Developers' behaviors,On the Self-Governance and Episodic Changes in Apache Incubator Projects: An Empirical Study,"Likang Yin, Xiyu Zhang, Vladimir Filkov",No URL available,False
Developers' behaviors,Socio-Technical Anti-Patterns in Building ML-Enabled Software: Insights from Leaders on the Forefront,"Alina Mailach, Norbert Siegmund",https://sws.informatik.uni-leipzig.de/wp-content/uploads/2023/01/socio-technical-anti-patterns-icse2023.pdf,False
Developers' behaviors,Moving on from the software engineers' gambit: an approach to support the defense of software effort estimates,"Patricia Matsubara, Igor Steinmacher, Bruno Gadelha, Tayana Conte",https://arxiv.org/abs/2302.07229,False
Program translation and synthesis,Concrat: An Automatic C-to-Rust Lock API Translator for Concurrent Programs,"Jaemin Hong, Sukyoung Ryu",https://doi.org/10.48550/arXiv.2301.10943,False
Program translation and synthesis,Triggers for Reactive Synthesis Specifications,"Gal Amram, Dor Ma'ayan, Shahar Maoz, Or Pistiner, Jan Oliver Ringert",https://smlab.cs.tau.ac.il/syntech/triggers/triggers-icse23.pdf,False
Program translation and synthesis,Using Reactive Synthesis: An End-to-End Exploratory Case Study,"Dor Ma'ayan, Shahar Maoz",https://smlab.cs.tau.ac.il/syntech/exploratory/exploratory-icse23.pdf,False
Program translation and synthesis,Syntax and Domain Aware Model for Unsupervised Program Translation,"Fang Liu, Jia Li, Li Zhang",https://arxiv.org/abs/2302.03908,False
Posters,Improving API Knowledge Discovery with ML: A Case Study of Comparable API Methods,"Daye Nam, Brad A. Myers, Bogdan Vasilescu, Vincent J. Hellendoorn",https://dayenam.com/assets/pdf/icse23_SOREL.pdf,False
Posters,Diver: Oracle-Guided SMT Solver Testing with Unrestricted Random Mutations,"Jongwook Kim, Sunbeom So, Hakjoo Oh",No URL available,False
Posters,Demystifying Exploitable Bugs in Smart Contracts,"Zhuo Zhang, Brian Zhang, Wen Xu, Zhiqiang Lin",https://github.com/ZhangZhuoSJTU/Web3Bugs/blob/main/papers/icse23.pdf,False
Posters,An Empirical Study of Deep Learning Models for Vulnerability Detection,"Benjamin Steenhoek, Md Mahbubur Rahman, Richard Jiles, Wei Le",https://doi.org/10.48550/arXiv.2212.08109,False
Posters,MorphQ: Metamorphic Testing of the Qiskit Quantum Computing Platform,"Matteo Paltenghi, Michael Pradel",https://arxiv.org/abs/2206.01111,False
Posters,Large Language Models are Few-shot Testers: Exploring LLM-based General Bug Reproduction,"Sungmin Kang, Juyeon Yoon, Shin Yoo",https://arxiv.org/abs/2209.11515,False
Posters,Automating Code-Related Tasks Through Transformers: The Impact of Pre-training,"Rosalia Tufano, Luca Pascarella, Gabriele Bavota",No URL available,False
Posters,Learning Seed-Adaptive Mutation Strategies for Greybox Fuzzing,"Myungho Lee, Sooyoung Cha, Hakjoo Oh",No URL available,False
Posters,A Qualitative Study on the Implementation Design Decisions of Developers,"Jenny T. Liang, Maryam Arab, Minhyuk Ko, Amy Ko, Thomas LaToza",https://arxiv.org/abs/2301.09789,True
Posters,PExReport: Automatic Creation of Pruned Executable Cross-Project Failure Reports,"Sunzhou Huang, Xiaoyin Wang",https://arxiv.org/pdf/2305.06669.pdf,False
Posters,Chronos: Time-Aware Zero-Shot Identification of Libraries from Vulnerability Reports,"Yunbo Lyu, Le-Cong Thanh, Hong Jin Kang, Ratnadira Widyasari, Zhipeng Zhao, Xuan-Bach D. Le, Ming Li, David Lo",https://arxiv.org/abs/2301.03944,False
Posters,Usability-Oriented Design of Liquid Types for Java,"Catarina Gamboa, Paulo Canelas, Christopher Steven Timperley, Alcides Fonseca",https://doi.org/10.1109/ICSE48619.2023.00132,False
Posters,When to Say What: Learning to Find Condition-Message Inconsistencies,"Islem BOUZENIA, Michael Pradel",https://software-lab.org/publications/icse2023_CMI-Finder.pdf,False
Posters,ECSTATIC: An Extensible Framework for Testing and Debugging Configurable Static Analysis,"Austin Mordahl, Zenong Zhang, Dakota Soles, Shiyi Wei",https://github.com/amordahl/amordahl.github.io/raw/master/docs/ecstatic_paper.pdf,False
Documentation,Developer-Intent Driven Code Comment Generation,"Fangwen Mu, Xiao Chen, Lin Shi, Song Wang, Qing Wang",https://arxiv.org/abs/2302.07055,False
Documentation,Data Quality Matters: A Case Study of ObsoleteComment Detection,"Shengbin Xu, Yuan Yao, Feng Xu, Tianxiao Gu, Jingwei Xu, Xiaoxing Ma",https://cs.nju.edu.cn/yuanyao/static/icse2023a.pdf,False
Documentation,Revisiting Learning-based Commit Message Generation,"Jinhao Dong, Yiling Lou, Dan Hao, Lin Tan",https://raw.githubusercontent.com/DJjjjhao/ICSE-MSG-STUDY/main/preprint.pdf,False
Documentation,Commit Message Matters: Investigating Impact and Evolution of Commit Message Quality,"Jiawei Li, Iftekhar Ahmed",No URL available,False
Software logging,PILAR: Studying and Mitigating the Influence of Configurations on Log Parsing,"Hetong Dai, Yiming Tang, Heng Li, Weiyi Shang",No URL available,False
Software logging,Did We Miss Something Important? Studying and Exploring Variable-Aware Log Abstraction,"Zhenhao Li, Chuan Luo, Tse-Hsun (Peter) Chen, Weiyi Shang, Shilin He, Qingwei Lin, Dongmei Zhang",No URL available,False
Software logging,On the Temporal Relations between Logging and Code,"Zishuo Ding, Yiming Tang, Yang Li, Heng Li, Weiyi Shang",https://users.encs.concordia.ca/~zi_ding/ICSE_2023.pdf,False
Software logging,How Do Developers' Profiles and Experiences Influence their Logging Practices? An Empirical Study of Industrial Practitioners,"Guoping Rong, shenghui gu, Haifeng Shen, He Zhang, Hongyu Kuang",No URL available,False
Software logging,When to Say What: Learning to Find Condition-Message Inconsistencies,"Islem BOUZENIA, Michael Pradel",https://software-lab.org/publications/icse2023_CMI-Finder.pdf,False
Software logging,A Semantic-aware Parsing Approach for Log Analytics,"Yintong Huo, Yuxin Su, Cheryl Lee, Michael Lyu",https://arxiv.org/abs/2112.12636,False
Test generation,BADGE: Prioritizing UI Events with Hierarchical Multi-Armed Bandits for Automated UI Testing,"Dezhi Ran, Hao Wang, Wenyu Wang, Tao Xie",No URL available,False
Test generation,Efficiency Matters: Speeding Up Automated Testing with GUI Rendering Inference,"Sidong Feng, Mulong Xie, Chunyang Chen",https://arxiv.org/abs/2212.05203,True
Test generation,CodaMOSA: Escaping Coverage Plateaus in Test Generation with Pre-trained Large Language Models,"Caroline Lemieux, Jeevana Priya Inala, Shuvendu K. Lahiri, Siddhartha Sen",No URL available,False
SE for security,TAINTMINI: Detecting Flow of Sensitive Data in Mini-Programs with Static Taint Analysis,"Chao Wang, Ronny Ko, Yue Zhang, Yuqing Yang, Zhiqiang Lin",No URL available,False
SE for security,AChecker: Statically Detecting Smart Contract Access Control Vulnerabilities,"Asem Ghaleb, Julia Rubin, Karthik Pattabiraman",No URL available,False
SE for security,Fine-grained Commit-level Vulnerability Type Prediction By CWE Tree Structure,"Shengyi Pan, Lingfeng Bao, Xin Xia, David Lo, Shanping Li",https://baolingfeng.github.io/papers/ICSE2023.pdf,False
SE for security,VulGen: Realistic Vulnerability Generation Via Pattern Mining and Deep Learning,"Yu Nong, Yuzhe Ou, Michael Pradel, Feng Chen, Haipeng Cai",http://chapering.github.io/pubs/icse23yu.pdf,False
SE for security,On-Demand Security Requirements Synthesis with Relational Generative Adversarial Networks (RelGAN),"Viktoria Koscinski, Sara Hashemi, Mehdi Mirakhorli",No URL available,False
SE for security,Measuring Secure Coding Practice and Culture: A Finger Pointing at the Moon is not the Moon,"Ita Ryan, Utz Roedig, Klaas-Jan Stol",https://user-group.github.io/pub/ICSE2023moon.pdf,False
SE for security,What Challenges Do Developers Face About Checked-in Secrets in Software Artifacts?,"Setu Kumar Basak, Lorenzo Neil, Bradley Reaves, Laurie Williams",https://arxiv.org/pdf/2301.12377.pdf,False
SE for security,Lejacon: A Lightweight and Efficient Approach to Java Confidential Computing on SGX,"Xinyuan Miao, Ziyi Lin, Shaojun Wang, Lei Yu, Sanhong Li, Zihan Wang, Pengbo Nie, Yuting Chen, Beijun Shen, He Jiang",https://ddst.sjtu.edu.cn/Management/Upload/[News]a845acae286b470bb55013c1b5e425e2/20232101456536725sSV.pdf,True
SE for security,Keyword Extraction From Specification Documents for Planning Security Mechanisms,"Jeffy Jahfar Poozhithara, Hazeline Asuncion, Brent Lagesse",https://faculty.washington.edu/lagesse/publications/ICSE2023.pdf,False
Development and evolution of AI-intensive systems,Reusing Deep Neural Network Models through Model Re-engineering,"Binhang Qi, Hailong Sun, Xiang Gao, Hongyu Zhang, Zhaotian Li, Xudong Liu",No URL available,False
Development and evolution of AI-intensive systems,PyEvolve: Automating Frequent Code Changes in Python ML Systems,"Malinda Dilhara, Danny Dig, Ameya Ketkar",https://danny.cs.colorado.edu/papers/PyEvolve_ICSE2023.pdf,False
Development and evolution of AI-intensive systems,DeepArc: Modularizing Neural Networks for the Model Maintenance,"xiaoning ren, Yun Lin, Yinxing Xue, Ruofan Liu, Jun Sun, Zhiyong Feng, Jin Song Dong",No URL available,False
Development and evolution of AI-intensive systems,Decomposing a Recurrent Neural Network into Modules for Enabling Reusability and Replacement,"Sayem Mohammad Imtiaz, Fraol Batole, Astha Singh, Rangeet Pan, Breno Dantas Cruz, Hridesh Rajan",https://arxiv.org/abs/2212.05970,False
Vulnerability analysis and assessment,Chronos: Time-Aware Zero-Shot Identification of Libraries from Vulnerability Reports,"Yunbo Lyu, Le-Cong Thanh, Hong Jin Kang, Ratnadira Widyasari, Zhipeng Zhao, Xuan-Bach D. Le, Ming Li, David Lo",https://arxiv.org/abs/2301.03944,False
Vulnerability analysis and assessment,Understanding the Threats of Upstream Vulnerabilities to Downstream Projects in the Maven Ecosystem,"Yulun Wu, Zeliang Yu, Ming Wen, Qiang Li, Deqing Zou, Hai Jin",https://justinwm.github.io/paper/ICSE-Ecosystem-Checked.pdf,False
Vulnerability analysis and assessment,SecBench.js: An Executable Security Benchmark Suite for Server-Side JavaScript,"Masudul Hasan Masud Bhuiyan, Adithya Srinivas Parthasarathy, Nikos Vasilakis, Michael Pradel, Cristian-Alexandru Staicu",https://software-lab.org/publications/icse2023_SecBenchJS.pdf,False
Vulnerability analysis and assessment,On Privacy Weaknesses and Vulnerabilities in Software Systems,"Pattaraporn Sangaroonsilp, Hoa Khanh Dam, Aditya Ghose",No URL available,False
Defect detection and prediction,Detecting Exception Handling Bugs in C++ Programs,"Hao Zhang, Ji Luo, Mengze Hu, Jun Yan, Jian Zhang, Zongyan Qiu",No URL available,False
Defect detection and prediction,Learning to Boost Disjunctive Static Bug-Finders,"Yoonseok Ko, Hakjoo Oh",No URL available,False
Defect detection and prediction,Predicting Bugs by Monitoring Developers During Task Execution,"Gennaro Laudato, Simone Scalabrino, Nicole Novielli, Filippo Lanubile, Rocco Oliveto",No URL available,False
Defect detection and prediction,Detecting Isolation Bugs via Transaction Oracle Construction,"Wensheng Dou, Ziyu Cui, Qianwang Dai, Jiansen Song, Dong Wang, Yu Gao, Wei Wang, Jun Wei, Lei Chen, Hanmo Wang, Hua Zhong, Tao Huang",http://www.tcse.cn/~wsdou/papers/2023-icse-troc.pdf,False
Defect detection and prediction,SmallRace: Static Race Detection for Dynamic Languages - A Case on Smalltalk,"Siwei Cui, Yifei Gao, Rainer Unterguggenberger, Wilfried Pichler, Sean Livingstone, Jeff Huang",https://jncsw.github.io/assets/paper/SmallRace_ICSE2023.pdf,False
Studies on gender in SE,“STILL AROUND”: Experiences and Survival Strategies of Veteran Women Software Developers,"Sterre van Breukelen, Ann Barcomb, Sebastian Baltes, Alexander Serebrenik",https://arxiv.org/abs/2302.03723,True
AI testing,When and Why Test Generators for Deep Learning Produce Invalid Inputs: an Empirical Study,"Vincenzo Riccio, Paolo Tonella",https://p1ndsvin.github.io/assets/pdf/ICSE2023.pdf,False
AI testing,Fuzzing Automatic Differentiation in Deep-Learning Libraries,"Chenyuan Yang, Yinlin Deng, Jiayi Yao, Yuxing Tu, Hanchi Li, Lingming Zhang",No URL available,False
AI testing,Lightweight Approaches to DNN Regression Error Reduction: An Uncertainty Alignment Perspective,"Zenan Li, Maorun Zhang, Jingwei Xu, Yuan Yao, Chun Cao, Taolue Chen, Xiaoxing Ma, Jian Lu",https://brickinwall.github.io/preprints/DNNRegressionError.pdf,False
AI testing,Revisiting Neuron Coverage for DNN Testing: A Layer-Wise and Distribution-Aware Criterion,"Yuanyuan Yuan, Qi Pang, Shuai Wang",No URL available,False
AI testing,Aries: Efficient Testing of Deep Neural Networks via Labeling-Free Accuracy Estimation,"Qiang Hu, Yuejun GUo, Xiaofei Xie, Maxime Cordy, Lei Ma, Mike Papadakis, Yves Le Traon",https://mpapad.github.io//publications/pdfs/ICSE2023_Acc_Estimation.pdf,False
AI testing,CC: Causality-Aware Coverage Criterion for Deep Neural Networks,"Zhenlan Ji, Pingchuan Ma, Yuanyuan Yuan, Shuai Wang",No URL available,False
AI testing,Balancing Effectiveness and Flakiness of Non-Deterministic Machine Learning Tests,"Chunqiu Steven Xia, Saikat Dutta, Sasa Misailovic, Darko Marinov, Lingming Zhang",No URL available,False
AI testing,Many-Objective Reinforcement Learning for Online Testing of DNN-Enabled Systems,"Fitash ul haq, Donghwan Shin, Lionel Briand",https://arxiv.org/abs/2210.15432,False
AI testing,Reliability Assurance for Deep Neural Network Architectures Against Numerical Defects,"Linyi Li, Yuhao Zhang, Luyao Ren, Yingfei Xiong, Tao Xie",https://arxiv.org/abs/2302.06086,False
Code review,"Code Review of Build System Specifications: Prevalence, Purposes, Patterns, and Perceptions","Mahtab Nejati, Mahmoud Alfadel, Shane McIntosh",https://rebels.cs.uwaterloo.ca/papers/icse2023_nejati.pdf,False
Program repair techniques and applications,Better Automatic Program Repair by Using Bug Reports and Tests Together,"Manish Motwani, Yuriy Brun",https://people.cs.umass.edu/~brun/pubs/pubs/Motwani23icse.pdf,False
Program repair techniques and applications,CCTEST: Testing and Repairing Code Completion Systems,"Li Zongjie, Chaozheng Wang, Zhibo Liu, Haoxuan Wang, Dong Chen, Shuai Wang, Cuiyun Gao",No URL available,False
Program repair techniques and applications,KNOD: Domain Knowledge Distilled Tree Decoder for Automated Program Repair,"Nan Jiang, Thibaud Lutellier, Yiling Lou, Lin Tan, Dan Goldwasser, Xiangyu Zhang",https://arxiv.org/abs/2302.01857,False
Program repair techniques and applications,Rete: Learning Namespace Representation for Program Repair,"Nikhil Parasaram, Earl T. Barr, Sergey Mechtaev",https://ieeexplore.ieee.org/document/10172760,True
Requirements elicitation and understanding,AI-based Question Answering Assistance for Analyzing Natural-language Requirements,"Saad Ezzini, Sallam Abualhaija, Chetan Arora, Mehrdad Sabetzadeh",https://orbilu.uni.lu/bitstream/10993/53814/1/ICSE23.pdf,False
Requirements elicitation and understanding,"Strategies, Benefits and Challenges of App Store-inspired Requirements Elicitation","Alessio Ferrari, Paola Spoletini",https://arxiv.org/abs/2301.12090,False
Software verification,Data-driven Recurrent Set Learning For Non-termination Analysis,"Zhilei Han, Fei He",No URL available,False
Software verification,Compiling Parallel Symbolic Execution with Continuations,"Guannan Wei, Songlin Jia, Ruiqi Gao, Haotian Deng, Shangyin Tan, Oliver Bračevac, Tiark Rompf",https://continuation.passing.style/static/papers/icse23.pdf,False
Software verification,Verifying Data Constraint Equivalence in FinTech Systems,"Chengpeng Wang, Gang Fan, Peisen Yao, Fuxiong Pan, Charles Zhang",https://arxiv.org/pdf/2301.11011.pdf,False
Software verification,Tolerate Control-Flow Changes for Sound Data Race Prediction,"Shihao Zhu, Yuqi Guo, Long Zhang, Yan Cai",No URL available,False
