Domain,Knowledge-seeking vs. Eval,Nerd factor/zu spezifisch,Validation Nerd Factor,Higher-level RQ,Distinguished,Bucket ID,Paper Name,Research Questions (max. 4),Notiz,Suitability Tendenz,Authors,URL
Analytics,Evaluation,-,,,FALSE,-,Language Models for Code Completion: A Practical Evaluation,"RQ1: Based on real-world completions, how accurate are the models?
RQ2:Whatarethemostcommoncompletiontriggerpoints, and how do the models perform on those?
RQ3: In practice, what are common scenarios in which auto-completion is invoked?
RQ4: Based onreal-world completions, what are the common causes of poor results?",,,"Maliheh Izadi, Jonathan Katzy, Tim van Dam, Marc Otten, Răzvan Mihai Popescu, Arie van Deursen",No URL available
Analytics,Knowledge-seeking,0,,,FALSE,,Source Code Recommender Systems: The Practitioners' Perspective,What are the characteristics of code recommender systems that are considered important by practitioners?,,,"Matteo Ciniselli, Luca Pascarella, Emad Aghajani, Simone Scalabrino, Rocco Oliveto, Gabriele Bavota",No URL available
Analytics,Evaluation,-,,,FALSE,-,Persisting and Reusing Results of Static Program Analyses on a Large Scale,"What results are produced by SPA applications? (RQ1.1)
• How are results of SPA applications structured? (RQ1.2)
• By what means are SPA results persisted? (RQ1.3)
• To what extent are SPA results reused? (RQ1.4)",,,"Johannes Düsing, Ben Hermann, Ben Hermann",No URL available
Evolution,Knowledge-seeking,0,,,TRUE,,Understanding Developers' Discussions and Perceptions on Non-Functional Requirements: The Case of the Spring Ecosystem,"RQ1. What are the characteristics of the discussions in PRs addressing NFRs?
RQ2. Who are the developers that engage in NFR discussions?
RQ3. How do developers perceive and address NFRs in their daily work?",,,"Anderson Oliveira, João Lucas Correia, Wesley Assunção, Juliana Alves Pereira, Rafael de Mello, Daniel Coutinho, Caio Barbosa, Paulo Vítor C. F. Libório, Alessandro Garcia",No URL available
Evolution,,-,,,FALSE,-,Ex pede Herculem: Augmenting Activity Transition Graph for Apps via Graph Convolution Network,keine RQs,,,"Zhe Liu, Chunyang Chen, Junjie Wang, Yuhui Su, Yuekai Huang, Jun Hu, Qing Wang",No URL available
Evolution,Evolution,-,,,FALSE,-,Merge Conflict Resolution: Classification or Generation?,,,,"Jinhao Dong, Qihao Zhu, Zeyu Sun, Yiling Lou, Dan Hao",No URL available
Evolution,Evolution,-,,,FALSE,-,Scaling Code Pattern Inference with Interactive What-If Analysis,,,,"Hong Jin Kang, Kevin Wang, Miryung Kim",No URL available
Requirements and modeling,Evaluation,-,,,FALSE,-,Consistent Scene Graph Generation by Constraint Optimization,"RQ1:Whatis the impact of using a constraint-biased data set for training? 
• RQ2: Howeffective is our constraint optimization approach in deriving consistent scene graphs? 
• RQ3:Howdoesthe generation of consistent scene graphs affect other metrics with different training set size? 
• RQ4:Howdoesthe runtime of optimization scale with increasing number of objects and constraints?",,,"Boqi Chen, Kristóf Marussy, Sebastian Pilarski, Oszkár Semeráth, Daniel Varro",No URL available
Requirements and modeling,Evaluation,-,,,FALSE,-,TransRepair: Context-aware Program Repair for Compilation Errors,"What is the performance of TransRepair compared with current existing state-of-the-art approaches?
 RQ2. Is each component (i.e., diagnostic feedback, context and pointer mechanism) in TransRepair effective to improve the repair accuracy? 
RQ3. Is each type of the perturbation strategies is beneficial for constructing a more diverse dataset and helping the model improve the performance? 
RQ4. When TransRepair fails and when it works? An empirical studyforinvestigating the detailed repaired results compared with the state-of-the-art.",,,"Xueyang Li, Shangqing Liu, Ruitao Feng, Guozhu Meng, Xiaofei Xie, Kai Chen, Yang Liu",No URL available
Requirements and modeling,Knowledge-seeking,0,0,,FALSE,B9,A Comprehensive Study on Code Clones in Automated Driving Software,"RQ1: To what extent do code clones occur in automated
driving software?
–If a large number of code clones exist in automated driving
software, meaning code cloning deserves more attention in
such software systems. Hence, we examined the existence of
code clones by calculating their amounts and lines of code
(LOC).
RQ2. Do code clones have a tendency to introduce bugs in
automated driving software?
–In this question, we analyzed whether and to what extent
code clones bring bugs into automated driving software.
RQ3. Do code clones in automated driving software have
co-modifications?
RQ4. How do code clones in autonomous driving software
distribute over different modules? Which modules have more
bug-prone and co-modified clones?",,,"Ran Mo, Yingjie Jiang, Wenjing Zhan, Dongyu Wang, Zengyang Li",No URL available
Human and social aspects,Knowledge-seeking,-,,,TRUE,-,Breaking the Flow: A Study of Interruptions During Software Engineering Activities,"RQ1: What is the effect of different interruptions on developers’ performance across different software engineering tasks? 
RQ2: What is the effect of different interruptions on stress measures across different software engineering tasks? 
RQ3: Is there a correlation between objective measures of developers’ physiological states and their self-reported feelings for different interruptions and tasks?",,,"Yimeng Ma, Yu Huang, Kevin Leach",No URL available
Human and social aspects,Knowledge-seeking,-,,,TRUE,-,"""The Law Doesn’t Work Like a Computer"": Exploring Software Licensing Issues Faced by Legal Practitioners","RQ1: What is the ecosystem of license compliance experienced by legal practitioners? 
RQ2: How do legal practitioners perform license compliance in this ecosystem? 
RQ3: What challenges do legal practitioners face during license compliance?",,,"Nathan Wintersgill, Trevor Stalnaker, Laura A. Heymann, Oscar Chaparro, Denys Poshyvanyk",No URL available
Human and social aspects,,-,,,FALSE,-,Predicting open source contributor turnover from value-related discussions: An analysis of GitHub issues,,,,"Jack Jamieson, Naomi Yamashita, Eureka Foong",No URL available
Human and social aspects,,-,,,FALSE,-,Sustainability is Stratified: Toward a Better Theory of Sustainable Software Engineering,,,,"Erin Schultz, Sean McGuire, Bimpe Ayoola, Paul Ralph",No URL available
Human and social aspects,,-,,,FALSE,-,Supporting Web-based API Searches in the IDE Using Signatures,,,,"Nick Bradley, Thomas Fritz, Reid Holmes",No URL available
Dependability and Security,Evaluation,-1,1,,TRUE,-,Merge-Replay: Efficient IFDS-Based Taint Analysis by Consolidating Equivalent Value Flows,"RQ1. Is MERGEDROID more precise?
• RQ2. Is MERGEDROID faster?
• RQ3. Is MERGEDROID more memory-efficient?",,,"Yujiang Gui, Dongjie He, Jingling Xue",No URL available
Dependability and Security,Evaluation,-1,1,,TRUE,-,Safeguarding DeFi Smart Contracts against Oracle Deviations,"RQ1: Are current control parameters of Defi protocols safe under large oracle deviations? 
RQ2: CanOVer efficiently analyze various Defi protocols that use oracles? 
RQ3: CanOVerassistdevelopers to design safe Defi protocols that use oracles?",,,"Xun Deng, Sidi Mohamed Beillahi, Cyrus Minwalla, Han Du, Andreas Veneris, Fan Long",No URL available
Dependability and Security,Knowledge-seeking,-1,-1,,FALSE,-,When Contracts Meets Crypto: Exploring Developers' Struggles with Ethereum Cryptographic APIs,"RQ1. What are the common cryptographic practices in smart contracts?
RQ2. Whatobstacles, if any, do developers face when accomplishing on-chain cryptographic tasks?
RQ3. How do real-world practitioners perceive these obstacles and what improvements do they desire?
",,,"Jiashuo Zhang, Jiachi Chen, Zhiyuan Wan, Ting Chen, Jianbo Gao, Zhong Chen",No URL available
Dependability and Security,Knowledge-seeking,-1,1,,FALSE,-,Smart Contract and DeFi Security Tools: Do They Meet the Needs of Practitioners?,"RQ1: Which vulnerability types can be detected by automated security tools?
RQ2: Towhatextentcansecurity tools be used to prevent real-world high-profile attacks?
RQ3: What is the landscape of security tools used by developers andauditors?
RQ4: What are the key characteristics of security tools that are prioritized by auditors and developers?",,,"Stefanos Chaliasos, Marcos Antonios Charalambous, Liyi Zhou, Rafaila Galanopoulou, Arthur Gervais, Dimitris Mitropoulos, Ben Livshits",No URL available
Dependability and Security,Evaluation,0,-1,,FALSE,-,Translation Validation for JIT Compiler in the V8 JavaScript Engine,"RQ1 HoweffectiveisTurboTVtovalidateJSJITcompilations? 
RQ2 Howeffectiveisthecross-languageTV? 
RQ3 HoweffectiveisTurboTVasfuzzingoracle?
",,,"Seungwan Kwon, Jaeseong Kwon, Wooseok Kang, Juneyoung Lee, Kihong Heo",No URL available
