Domain,Knowledge-seeking vs. Eval,Nerd factor/zu spezifisch,Validation Nerd Factor,Higher-level RQ,Distinguished,Bucket ID,Paper Name,Research Questions (max. 4),Notiz,Suitability Tendenz,Authors,URL
Analytics,Knowledge-seeking,0,,,FALSE,,Do code refactorings influence the merge effort?,"RQ1: Does the occurrence of refactorings in the branches increase the chances of merge effort? 
RQ2: Does the amount of refactorings in the branches increase the chances of merge effort? 
RQ3: Does the amount of refactorings in the branches increase the intensity of merge effort?",,,"André Oliveira, Vania Neves, Alexandre Plastino, Ana Carla Bibiano, Alessandro Garcia, Leonardo Murta",No URL available
Analytics,Knowledge-seeking,0,,,FALSE,,Can Large Language Models Transform Natural Language Intent into Formal Method Postconditions?,"RQ1: Howwell do LLM-generated postconditions formalize informal natural language intent? 
• RQ2: Can LLM-generated postconditions help catch real-world bugs?",,,"Madeline Endres, Sarah Fakhoury, Saikat Chakraborty, Shuvendu K. Lahiri",No URL available
Evolution,Knowledge-seeking / Evaluation,-1,,,FALSE,,Understanding and Remediating Open-Source License Incompatibilities in the PyPI Ecosystem,"RQ1: What is the distribution of licenses and how does licensing evolve in the PyPI ecosystem? 
• RQ2: What is the distribution of license incompatibilities in the dependency graphs of PyPI releases? 
• RQ3: How do PyPI package developers respond to and remediate license incompatibilities in practice?",,,"Weiwei Xu, Hao He, Kai Gao, Minghui Zhou",No URL available
Evolution,,,,,FALSE,-,Safe low-level code without overhead is practical,keine RQs,,,"Solal Pirelli, George Candea",No URL available
Evolution,Evaluation,,,,FALSE,B8,SeeHow: Workflow Extraction from Programming Screencasts through Action-Aware Video Analytics,,,,"Dehai Zhao, Zhenchang Xing, Xin Xia, Deheng Ye, Xiwei (Sherry) Xu, Liming Zhu",No URL available
Requirements and modeling,,,,,FALSE,-,Accelerating OCR-Based Widget Localization for Test Automation of GUI Applications,,,,"Ju Qian, Yingwei Ma, Chenghao Lin, Lin Chen",No URL available
Requirements and modeling,,,,,FALSE,-,Cross-Domain Requirements Linking via Adversarial-based Domain Adaptation,,,,"Zhiyuan Chang, Mingyang Li, Qing Wang, Shoubin Li, Junjie Wang",No URL available
Requirements and modeling,,,,,FALSE,-,Recovering Trace Links Between Software Documentation And Code,,,,"Jan Keim, Sophie Corallo, Dominik Fuchß, Tobias Hey, Tobias Telge, Anne Koziolek",No URL available
Human and social aspects,,,,,FALSE,-,"Matching Skills, Past Collaboration, and Limited Competition: Modeling When Open-Source Projects Attract Contributors",,,,"Hongbo Fang, James Herbsleb, Bogdan Vasilescu",No URL available
Human and social aspects,,,,,FALSE,-,"Building and Sustaining Ethnically, Racially, and Gender Diverse Software Engineering Teams: A Study at Google",,,,"Ella Dagan, Anita Sarma, Alison Chang, Sarah D'Angelo, Jillian Dicker, Emerson Murphy-Hill",No URL available
Human and social aspects,,,,,FALSE,-,How Practitioners Expect Code Completion?,,,,"Chaozheng Wang, Junhao Hu, Cuiyun Gao, Yu Jin, Tao Xie, Hailiang Huang, Zhenyu Lei, Yuetang Deng",No URL available
Dependability and Security,Evaluation,-,,,FALSE,-,Verifying Declarative Smart Contracts,,,,"Haoxian Chen, Lan Lu, Brendan Massey, Yuepeng Wang, Boon Thau Loo",No URL available
Dependability and Security,Evaluation,-,,,FALSE,-,When Less is Enough: Positive and Unlabeled Learning Model for Vulnerability Detection,,,,"Xin-Cheng Wen, Xinchen Wang, Cuiyun Gao, Shaohua Wang, Yang Liu, Zhaoquan Gu",No URL available
Dependability and Security,Evaluation,-,,,FALSE,-,PrettySmart: Detecting Permission Re-delegation Vulnerability for Token Behaviors in Smart Contracts,,,,"Zhijie Zhong, Hong-Ning Dai, Zibin Zheng, Qing Xue, Junjia Chen, Yuhong Nan",No URL available
