Domain,Knowledge-seeking vs. Eval,Nerd factor/zu spezifisch,Validation Nerd Factor,Higher-level RQ,Distinguished,Bucket ID,Paper Name,Research Questions (max. 4),Notiz,Suitability Tendenz,Authors,URL
Analytics,Evaluation,-,,,FALSE,-,iASTMapper: An Iterative Similarity-Based Abstract Syntax Tree Mapping Algorithm,,,,"Neng Zhang, ChenQinde, Zibin Zheng, Ying Zou",No URL available
Analytics,,,,,FALSE,-,Demystifying and Detecting Misuses of Deep Learning APIs,keine RQs,,,"Moshi Wei, Nima Shiri Harzevili, Yuekai Huang, Jinqiu Yang, Junjie Wang, Song Wang",No URL available
Evolution,Evaluation,-,,,FALSE,-,Who is the Real Hero? Measuring Developer Contribution via Multi-dimensional Data Integration,,,,"Yuqiang Sun, Zhengzi Xu, Chengwei Liu, Yiran Zhang, Yang Liu",No URL available
Evolution,Knowledge-seeking,0,,,FALSE,,How Do Developers' Profiles and Experiences Influence their Logging Practices? An Empirical Study of Industrial Practitioners,,,,"Guoping Rong, shenghui gu, Haifeng Shen, He Zhang, Hongyu Kuang",No URL available
Evolution,Evaluation,-,,,FALSE,-,Evaluating Code Summarization Techniques: A New Metric and an Empirical Characterization,,,,"Antonio Mastropaolo, Matteo Ciniselli, Massimiliano Di Penta, Gabriele Bavota",No URL available
Requirements and modeling,Knowledge-seeking,0,0,,FALSE,B9,Too Much Accessibility is Harmful! Automated Detection and Analysis of Overly Accessible Elements in Mobile Apps,"RQ1. Howaccurate is OverSight in detecting OA elements? 
RQ2. How prevalent are over-access problems in securityconcerned apps? 
RQ3. What are the potential impacts of OA elements on different apps and communities? 
RQ4. What is the performance of OverSight?",,,"Forough Mehralian, Navid Salehnamadi, Syed Fatiul Huq, Sam Malek",No URL available
Requirements and modeling,,,,,FALSE,-,Enriching Compiler Testing with Real Program from Bug Report,"""Our research methodology is customized for experience papers, and we do not list explicit research questions like empirical studies.""",,,Hao Zhong,No URL available
Requirements and modeling,Evaluation,-,,,FALSE,-,Mining Android API Usage to Generate Unit Test Cases for Pinpointing Compatibility Issues,"RQ1 To what extent can JUnitTestGen generate executable unit test cases for Android APIs? 
RQ2 HoweffectiveisJUnitTestGenindiscoveringAPI-induced Compatibility Issues? 
RQ3 HowdoesJUnitTestGen compare with existing tools in detecting compatibility issues?",,,"Xiaoyu Sun, Xiao Chen, Yanjie Zhao, Pei Liu, John Grundy, Li Li",No URL available
domain_human_social,,,,,FALSE,-,High Expectations: An Observational Study of Programming and Cannabis Intoxication,,,,"Wenxin He, Manasvi Parikh, Westley Weimer, Madeline Endres",No URL available
domain_human_social,,,,,FALSE,-,On the Reproducibility of Software Defect Datasets,,,,"Hao-Nan Zhu, Cindy Rubio-González",No URL available
domain_human_social,,,,,FALSE,-,Unraveling the Drivers of Sense of Belonging in Software Delivery Teams: Insights from a Large-Scale Survey,,,,"Bianca Trinkenreich, Marco Gerosa, Igor Steinmacher",No URL available
Dependability and Security,Knowledge-seeking,0,0,,FALSE,B13,An Empirical Study of Deep Learning Models for Vulnerability Detection,"RQ1 Do models agree on the vulnerability detection results? What are the variabilities across different runs of a model and across different models? 
• RQ2 Are certain types of vulnerabilities easier to detect? Should we build models for each type of vulnerabilities or should we build one model that can detect all the vulnerabilities? 
• RQ3 Are programs with certain code features harder to be predicted correctly by current models, and if so, what are those code features?
• RQ4 Can increasing the dataset size help improve the
model performance for vulnerability detection?",,,"Benjamin Steenhoek, Md Mahbubur Rahman, Richard Jiles, Wei Le",No URL available
Dependability and Security,Evaluation,-,,,FALSE,-,On-Demand Security Requirements Synthesis with Relational Generative Adversarial Networks (RelGAN),"RQ1: Can RelGAN be promising for generating security
requirements? We found that RelGAN generates synthetic
security requirements similar to the original requirements
of the CCMS. RelGAN’s performance metrics in terms
of diversity of generated samples and matching between
the generated samples and original data are comparable to
RelGAN’s application in other domains. This result highlights that the use of GANs can be a promising approach
for synthesizing and recommending requirements.
• RQ2: Does the proposed method result in high quality
security requirements specifications? We found that when
the synthesized requirements are grammatically correct,
the generated specifications follow the best practices of
writing security requirements. Overall, 68% of all synthesized security requirements had no specification defects
and out of those which were grammatically correct, 87%
had no specification defects.
• RQ3: Are the synthesized security requirements useful
in practice? 9 subject matter requirements engineering
experts with prior requirements specification experience
evaluated the synthesized security requirements. They
indicated that the majority (80%) of syntactically correct
requirements were useful (22%) or very useful (58%).
However, 42% of the syntactically incorrect requirements
were perceived useful despite grammatical errors in the
specifications.
• RQ4: Would the adjustment of input requirements based
on rules of writing requirements impact the quality of
synthesized requirements? Our experimentation results
did not show improvement over the quality of synthesized
requirements after such treatment. In fact, the study
that preprocessed the requirements to simplify them and
improve the writing quality resulted in more ambiguous
specifications.",,,"Viktoria Koscinski, Sara Hashemi, Mehdi Mirakhorli",No URL available
Dependability and Security,Knowledge-seeking,0,0,,FALSE,B13,What Challenges Do Developers Face About Checked-in Secrets in Software Artifacts?,"• RQ1: What are the technical challenges faced by developers related to checked-in secrets?
RQ1.1 What are the questions developers ask about
checked-in secrets?
RQ1.2 Which questions related to checked-in secrets
exhibit more unsatisfactory answers?
• RQ1.3 Which questions are the most
• RQ2: What solutions do developers get for mitigating
checked-in secrets?
",,,"Setu Kumar Basak, Lorenzo Neil, Bradley Reaves, Laurie Williams",No URL available
